Student_ID,Subject,Grade
S001,Data Structures,B
S001,Database Management,E
S001,Computer Networks,A
S001,Operating Systems,D
S001,Python Programming,S
S002,Data Structures,D
S002,Database Management,S
S002,Computer Networks,C
S002,Operating Systems,F
S002,Python Programming,B
S003,Data Structures,F
S003,Database Management,B
S003,Computer Networks,E
S003,Operating Systems,A
S003,Python Programming,D
S004,Data Structures,A
S004,Database Management,D
S004,Computer Networks,S
S004,Operating Systems,C
S004,Python Programming,F
S005,Data Structures,D
S005,Database Management,S
S005,Computer Networks,C
S005,Operating Systems,F
S005,Python Programming,B
S006,Data Structures,F
S006,Database Management,B
S006,Computer Networks,E
S006,Operating Systems,A
S006,Python Programming,D
S007,Data Structures,A
S007,Database Management,D
S007,Computer Networks,S
S007,Operating Systems,C
S007,Python Programming,F
S008,Data Structures,C
S008,Database Management,F
S008,Computer Networks,B
S008,Operating Systems,E
S008,Python Programming,A
S009,Data Structures,E
S009,Database Management,A
S009,Computer Networks,D
S009,Operating Systems,S
S009,Python Programming,C
S010,Data Structures,A
S010,Database Management,D
S010,Computer Networks,S
S010,Operating Systems,C
S010,Python Programming,F
S011,Data Structures,C
S011,Database Management,F
S011,Computer Networks,B
S011,Operating Systems,E
S011,Python Programming,A
S012,Data Structures,E
S012,Database Management,A
S012,Computer Networks,D
S012,Operating Systems,S
S012,Python Programming,C
S013,Data Structures,S
S013,Database Management,C
S013,Computer Networks,F
S013,Operating Systems,B
S013,Python Programming,E
S014,Data Structures,B
S014,Database Management,E
S014,Computer Networks,A
S014,Operating Systems,D
S014,Python Programming,S
S015,Data Structures,E
S015,Database Management,A
S015,Computer Networks,D
S015,Operating Systems,S
S015,Python Programming,C
S016,Data Structures,S
S016,Database Management,C
S016,Computer Networks,F
S016,Operating Systems,B
S016,Python Programming,E
S017,Data Structures,B
S017,Database Management,E
S017,Computer Networks,A
S017,Operating Systems,D
S017,Python Programming,S
S018,Data Structures,D
S018,Database Management,S
S018,Computer Networks,C
S018,Operating Systems,F
S018,Python Programming,B
S019,Data Structures,F
S019,Database Management,B
S019,Computer Networks,E
S019,Operating Systems,A
S019,Python Programming,D
S020,Data Structures,B
S020,Database Management,E
S020,Computer Networks,A
S020,Operating Systems,D
S020,Python Programming,S
S021,Data Structures,D
S021,Database Management,S
S021,Computer Networks,C
S021,Operating Systems,F
S021,Python Programming,B
S022,Data Structures,F
S022,Database Management,B
S022,Computer Networks,E
S022,Operating Systems,A
S022,Python Programming,D
S023,Data Structures,A
S023,Database Management,D
S023,Computer Networks,S
S023,Operating Systems,C
S023,Python Programming,F
S024,Data Structures,C
S024,Database Management,F
S024,Computer Networks,B
S024,Operating Systems,E
S024,Python Programming,A
S025,Data Structures,F
S025,Database Management,B
S025,Computer Networks,E
S025,Operating Systems,A
S025,Python Programming,D
S026,Data Structures,A
S026,Database Management,D
S026,Computer Networks,S
S026,Operating Systems,C
S026,Python Programming,F
S027,Data Structures,C
S027,Database Management,F
S027,Computer Networks,B
S027,Operating Systems,E
S027,Python Programming,A
S028,Data Structures,E
S028,Database Management,A
S028,Computer Networks,D
S028,Operating Systems,S
S028,Python Programming,C
S029,Data Structures,S
S029,Database Management,C
S029,Computer Networks,F
S029,Operating Systems,B
S029,Python Programming,E
S030,Data Structures,C
S030,Database Management,F
S030,Computer Networks,B
S030,Operating Systems,E
S030,Python Programming,A
